id,signal_id,ticker,direction,quantity,price,total_value,currency,paper,status,opened_at,closed_at,pnl,notes
124,124,T,BUY,20.7588,22.6650009155273,470.498221005249,GBP,1,CLOSED,"2026-06-04 19:38:12","2026-06-18 19:30:10",-10.068030670166,
125,125,OHI,BUY,11.8393,44.0849990844727,521.935529660797,GBP,1,OPEN,"2026-06-05 13:53:13",,,
126,126,SBAC,BUY,2.4678,209.434997558594,516.843686975098,GBP,1,CLOSED,"2026-06-05 13:53:14","2026-06-15 19:30:09",-34.1419919128418,
130,130,CPRT,BUY,16.8925,30.7150001525879,518.853140077591,GBP,1,CLOSED,"2026-06-05 19:37:53","2026-06-17 19:30:09",-18.1594503879547,
131,131,WBD,BUY,19.8162,26.1350002288818,517.896391535568,GBP,1,OPEN,"2026-06-08 13:53:09",,,
132,132,AAPL,BUY,1.7858,291.065002441406,519.783881359863,GBP,1,CLOSED,"2026-06-09 19:37:23","2026-06-25 13:45:05",-23.1350695190429,
133,133,WU,BUY,53.0811,7.4850001335144,397.312040587091,GBP,1,CLOSED,"2026-06-09 19:37:23","2026-06-16 13:45:07",-9.55461419906612,
138,138,CLOV,BUY,98.7992,4.78499984741211,472.754156924438,GBP,1,CLOSED,"2026-06-10 19:37:56","2026-06-12 13:45:09",-16.3018642311096,
139,139,MSFT,BUY,1.3402,389.579986572266,522.11509800415,GBP,1,CLOSED,"2026-06-11 13:53:15","2026-06-18 13:45:07",-20.8400936401368,
141,141,BR,BUY,3.6781,141.580001831055,520.745404734802,GBP,1,CLOSED,"2026-06-12 13:55:09","2026-06-18 13:45:07",-16.2575881286621,
142,142,VZ,BUY,1.9046,47.6481018066406,90.7505747009277,GBP,1,CLOSED,"2026-06-12 13:55:09","2026-06-18 19:30:10",-3.81510682907106,
143,143,NTLA,BUY,31.9824,14.4799995422363,463.105137359619,GBP,1,CLOSED,"2026-06-15 19:37:51","2026-06-26 13:45:04",71.1608522003174,
144,144,PTCT,BUY,5.2414,74.6999969482422,391.532564004517,GBP,1,OPEN,"2026-06-16 13:53:30",,,
145,145,COP,BUY,4.3939,110.889999389648,487.239568318176,GBP,1,CLOSED,"2026-06-16 19:38:00","2026-06-26 19:30:12",-25.2649249999999,
148,148,SLB,BUY,10.0013,51.625,516.3171125,GBP,1,CLOSED,"2026-06-17 13:52:47","2026-06-18 19:30:11",-35.9546857086182,
150,150,AMGN,BUY,1.5178,340.295013427734,516.499771380615,GBP,1,OPEN,"2026-06-17 19:37:58",,,
151,151,BHVN,BUY,30.8522,13.2749996185303,409.56294323082,GBP,1,CLOSED,"2026-06-17 19:37:58","2026-06-23 13:45:07",69.1089503614426,
153,153,MSFT,BUY,1.3825,374.109008789063,517.205704650879,GBP,1,CLOSED,"2026-06-18 13:53:30","2026-06-25 13:45:06",-20.6877573394776,
154,154,JNJ,BUY,2.0918,231.664993286133,484.596832955933,GBP,1,OPEN,"2026-06-18 13:53:30",,,
155,155,MRNA,BUY,8.0194,63.8400001525879,511.958497223663,GBP,1,CLOSED,"2026-06-18 19:37:56","2026-06-22 13:45:08",-25.9828694602966,
156,156,WRBY,BUY,19.5777,26.1499996185303,511.9568475317,GBP,1,CLOSED,"2026-06-18 19:37:57","2026-06-23 19:30:11",-7.83107253170016,
158,158,NFLX,BUY,6.5564,76.620002746582,502.35138600769,GBP,1,CLOSED,"2026-06-22 13:54:21","2026-06-24 19:30:12",-28.3892240051269,
161,161,GLW,BUY,1.9195,207.899993896484,399.064038284302,GBP,1,CLOSED,"2026-06-22 19:38:05","2026-06-23 13:45:08",-39.8584163284302,
162,162,NOC,BUY,1.0071,512.809997558594,516.45094854126,GBP,1,OPEN,"2026-06-23 13:54:38",,,
163,163,HAL,BUY,9.2781,35.0601997375488,325.292039184952,GBP,1,OPEN,"2026-06-23 13:54:39",,,
167,167,LGND,BUY,1.8404,280.200012207031,515.68010246582,GBP,1,OPEN,"2026-06-23 19:37:57",,,
168,168,CNP,BUY,11.2013,43.5499992370605,487.816606454086,GBP,1,OPEN,"2026-06-23 19:37:58",,,
169,169,NFLX,BUY,6.5691,72.254997253418,474.650302457428,GBP,1,OPEN,"2026-06-24 19:39:18",,,
172,172,AAPL,BUY,1.8612,278.315002441406,517.999882543945,GBP,1,OPEN,"2026-06-25 13:54:17",,,
173,173,MSFT,BUY,1.3237,358.962493896484,475.158653170776,GBP,1,OPEN,"2026-06-25 13:54:18",,,
176,176,NDAQ,BUY,6.631,78.5550003051758,520.898207023621,GBP,1,OPEN,"2026-06-26 13:53:30",,,
177,177,ROL,BUY,12.1598,42.8375015258789,520.895451054382,GBP,1,OPEN,"2026-06-26 13:53:30",,,
178,178,GOOG,BUY,1.2964,335.690002441406,435.188519165039,GBP,1,OPEN,"2026-06-26 13:53:30",,,
179,179,ALGM,BUY,8.9923,58.1399993896484,522.812316511536,GBP,1,OPEN,"2026-06-26 19:37:21",,,
180,180,KDP,BUY,11.2461,33.314998626709,374.663806055832,GBP,1,OPEN,"2026-06-26 19:37:21",,,
