id,ticker,signal_type,direction,confidence,price_at_signal,regime,notes,created_at
51,ISRG,PAPER_MEAN_REVERSION,BUY,80.0,430.75,BULL,"[PAPER SCANNER] At lower BB — strong oversold (0.10) | RSI below midline (37.0) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=80.0 → Final=80.0","2026-05-13 14:14:36"
52,AMGN,PAPER_MOMENTUM,BUY,65.0,332.609985351563,BULL,"[PAPER SCANNER] RSI bullish zone (43.2) | MACD bullish crossover | Below MA50 (349.55) | Above MA200 (323.44) | Low volume (0.1x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=65.0 → Final=65.0","2026-05-13 14:14:38"
53,DHR,PAPER_MEAN_REVERSION,BUY,90.0,165.229995727539,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.12) | RSI extremely oversold (24.9) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=90.0 → Final=90.0","2026-05-13 14:14:39"
54,NVDA,MOMENTUM,BUY,65.0,234.455001831055,BULL,"RSI overbought (76.2) | MACD above signal | Above MA50 (192.20) | Above MA200 (185.72) | Low volume (0.8x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=55.0 → Final=65.0","2026-05-14 17:51:44"
55,IBM,MEAN_REVERSION,BUY,80.0,219.300003051758,BULL,"Near lower BB — oversold (0.23) | RSI below midline (38.7) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+10.0 | Raw=70.0 → Final=80.0","2026-05-14 17:51:52"
56,LLY,PAPER_MOMENTUM,BUY,65.0,992.289978027344,BULL,"[PAPER SCANNER] RSI neutral (58.0) | MACD above signal | Above MA50 (938.67) | Above MA200 (919.67) | Low volume (0.0x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=65.0 → Final=65.0","2026-05-18 13:45:07"
57,XOM,PAPER_MOMENTUM,BUY,65.0,156.330001831055,BULL,"[PAPER SCANNER] RSI neutral (57.7) | MACD above signal | Above MA50 (154.06) | Above MA200 (128.30) | Low volume (0.1x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=65.0 → Final=65.0","2026-05-18 13:45:09"
58,HD,PAPER_MEAN_REVERSION,BUY,80.0,300.670013427734,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.13) | RSI oversold (33.5) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=80.0 → Final=80.0","2026-05-18 13:45:15"
59,TMO,PAPER_MEAN_REVERSION,BUY,80.0,438.570007324219,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.15) | RSI oversold (33.3) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=80.0 → Final=80.0","2026-05-18 13:45:22"
60,LIN,PAPER_MOMENTUM,BUY,65.0,508.747100830078,BULL,"[PAPER SCANNER] RSI neutral (55.2) | MACD above signal | Above MA50 (497.62) | Above MA200 (461.69) | Low volume (0.1x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=65.0 → Final=65.0","2026-05-18 13:45:23"
61,GS,PAPER_MOMENTUM,BUY,65.0,953.156799316406,BULL,"[PAPER SCANNER] RSI neutral (59.3) | MACD above signal | Above MA50 (883.83) | Above MA200 (838.32) | Low volume (0.1x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=65.0 → Final=65.0","2026-05-18 13:45:29"
62,ISRG,PAPER_MEAN_REVERSION,BUY,70.0,428.269989013672,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.20) | RSI below midline (38.3) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=70.0 → Final=70.0","2026-05-18 13:45:30"
63,BKNG,PAPER_MEAN_REVERSION,BUY,70.0,155.690002441406,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.18) | RSI below midline (35.8) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=70.0 → Final=70.0","2026-05-18 13:45:31"
64,RTX,PAPER_MEAN_REVERSION,BUY,70.0,172.110000610352,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.22) | RSI oversold (34.2) | Below MA20 by 2.3% | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=70.0 → Final=70.0","2026-05-18 13:45:32"
65,DHR,PAPER_MEAN_REVERSION,BUY,80.0,163.130004882813,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.14) | RSI oversold (25.4) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=80.0 → Final=80.0","2026-05-18 13:45:34"
66,BLK,PAPER_MOMENTUM,BUY,65.0,1084.19995117188,BULL,"[PAPER SCANNER] RSI neutral (58.8) | MACD above signal | Above MA50 (1014.05) | Above MA200 (1072.53) | Low volume (0.0x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=65.0 → Final=65.0","2026-05-18 13:45:35"
